Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Postal Code,City,State,Country,Region,Market,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
11,CA-2014-ORD31939,01/11/2016,01/12/2016,Standard Class,CUST-8618,Alice Smith,Home Office,12345.0,Austin,California,United States,South,USCA,PROD-1710,Furniture,Chairs,Product C,592.75,3,0.2,-131.51,24.71,Medium
12,CA-2014-ORD23422,01/12/2016,01/13/2016,First Class,CUST-6110,Diana Ross,Consumer,34567.0,San Francisco,New York,United States,South,USCA,PROD-5248,Office Supplies,Tables,Product A,3173.36,2,0.1,374.28,139.03,Low
13,CA-2015-ORD55034,01/13/2016,01/14/2016,Standard Class,CUST-8371,Charlie Brown,Corporate,12345.0,Austin,Texas,United States,West,USCA,PROD-1824,Furniture,Phones,Product B,1721.75,2,0.2,867.94,27.91,High
14,CA-2013-ORD93580,01/14/2016,01/15/2016,Same Day,CUST-7083,Bob Johnson,Home Office,23456.0,San Francisco,Texas,United States,Central,USCA,PROD-7466,Furniture,Chairs,Product C,2656.62,9,0.3,708.59,140.29,Medium
15,CA-2015-ORD26064,01/15/2016,01/16/2016,Same Day,CUST-3024,Bob Johnson,Corporate,23456.0,Austin,Illinois,United States,West,USCA,PROD-4818,Office Supplies,Tables,Product A,1226.43,2,0.2,643.72,174.24,Medium
16,CA-2013-ORD65827,01/16/2016,01/17/2016,First Class,CUST-3466,Bob Johnson,Home Office,34567.0,San Francisco,Illinois,United States,West,USCA,PROD-4005,Technology,Tables,Product C,3941.72,7,0.2,-279.5,136.72,Critical
17,CA-2015-ORD75728,01/17/2016,01/18/2016,First Class,CUST-3821,Alice Smith,Home Office,34567.0,New York,New York,United States,Central,USCA,PROD-9164,Technology,Phones,Product B,1441.03,7,0.2,113.47,11.34,Medium
18,CA-2015-ORD35917,01/18/2016,01/19/2016,First Class,CUST-9139,Alice Smith,Home Office,12345.0,Austin,California,United States,East,USCA,PROD-9236,Technology,Phones,Product A,3035.48,7,0.1,-141.81,162.69,Medium
19,CA-2015-ORD10181,01/19/2016,01/20/2016,Second Class,CUST-7684,Alice Smith,Corporate,,San Francisco,Illinois,United States,South,USCA,PROD-6152,Technology,Phones,Product A,3022.31,9,0.1,315.62,16.97,Low
20,CA-2013-ORD83424,01/20/2016,01/21/2016,First Class,CUST-2356,Charlie Brown,Consumer,34567.0,New York,California,United States,West,USCA,PROD-6682,Office Supplies,Tables,Product A,4855.29,1,0.1,425.68,102.48,Low
21,CA-2016-ORD82598,01/21/2016,01/22/2016,Standard Class,CUST-4007,Diana Ross,Corporate,,Austin,California,United States,Central,USCA,PROD-6868,Office Supplies,Chairs,Product A,352.89,9,0.1,204.97,19.99,Low
22,CA-2014-ORD98307,01/22/2016,01/23/2016,Second Class,CUST-7498,Alice Smith,Consumer,12345.0,Chicago,California,United States,East,USCA,PROD-7685,Office Supplies,Chairs,Product A,4897.76,5,0.3,-194.24,196.62,Critical
23,CA-2015-ORD28324,01/23/2016,01/24/2016,Standard Class,CUST-6913,Diana Ross,Consumer,34567.0,Austin,Texas,United States,South,USCA,PROD-9463,Technology,Chairs,Product B,370.99,4,0.2,422.94,40.91,Medium
24,CA-2015-ORD92305,01/24/2016,01/25/2016,Second Class,CUST-5946,Diana Ross,Consumer,34567.0,New York,Illinois,United States,East,USCA,PROD-7134,Technology,Phones,Product C,4374.22,4,0.1,-53.89,91.84,High
25,CA-2014-ORD77965,01/25/2016,01/26/2016,Standard Class,CUST-8287,Alice Smith,Home Office,,San Francisco,Illinois,United States,South,USCA,PROD-4388,Furniture,Phones,Product A,4108.83,6,0.0,400.75,16.69,Medium
26,CA-2014-ORD78983,01/26/2016,01/27/2016,First Class,CUST-2028,Charlie Brown,Consumer,,San Francisco,Illinois,United States,West,USCA,PROD-4444,Technology,Tables,Product A,2667.96,5,0.2,-55.98,5.5,Medium
27,CA-2014-ORD49690,01/27/2016,01/28/2016,First Class,CUST-7055,Alice Smith,Corporate,23456.0,Austin,New York,United States,West,USCA,PROD-8130,Furniture,Tables,Product A,23.66,1,0.2,357.55,70.05,Critical
28,CA-2014-ORD54096,01/28/2016,01/29/2016,Same Day,CUST-8714,Bob Johnson,Consumer,34567.0,New York,Illinois,United States,Central,USCA,PROD-8555,Furniture,Tables,Product C,3985.61,5,0.1,-499.11,80.75,Critical
29,CA-2016-ORD56221,01/29/2016,01/30/2016,Second Class,CUST-6679,Bob Johnson,Corporate,34567.0,New York,Texas,United States,Central,USCA,PROD-4482,Furniture,Binders,Product B,3280.4,1,0.3,-190.08,67.09,Critical
30,CA-2014-ORD65316,01/30/2016,01/31/2016,First Class,CUST-7785,Diana Ross,Home Office,12345.0,Austin,Texas,United States,Central,USCA,PROD-5855,Technology,Chairs,Product B,197.66,4,0.3,133.71,10.07,Critical
31,CA-2016-ORD62896,01/31/2016,02/01/2016,Same Day,CUST-5770,Alice Smith,Home Office,,New York,Texas,United States,Central,USCA,PROD-9111,Office Supplies,Chairs,Product C,4939.18,9,0.2,213.13,198.61,Medium
32,CA-2016-ORD59207,02/01/2016,02/02/2016,Second Class,CUST-3886,Charlie Brown,Consumer,23456.0,New York,Illinois,United States,West,USCA,PROD-7608,Furniture,Tables,Product B,3266.94,6,0.0,382.99,47.45,Low
33,CA-2014-ORD94239,02/02/2016,02/03/2016,Second Class,CUST-7420,Alice Smith,Consumer,34567.0,Austin,Illinois,United States,Central,USCA,PROD-2903,Furniture,Chairs,Product C,1839.37,2,0.2,-411.54,12.83,Critical
34,CA-2013-ORD24681,02/03/2016,02/04/2016,Same Day,CUST-9347,Bob Johnson,Corporate,34567.0,New York,Texas,United States,West,USCA,PROD-7012,Office Supplies,Tables,Product A,239.35,5,0.1,321.36,160.62,High
35,CA-2015-ORD67149,02/04/2016,02/05/2016,Second Class,CUST-5288,Charlie Brown,Consumer,12345.0,Austin,New York,United States,East,USCA,PROD-2896,Furniture,Chairs,Product B,2000.02,7,0.3,394.31,186.46,Medium
36,CA-2015-ORD56161,02/05/2016,02/06/2016,Second Class,CUST-6927,Alice Smith,Corporate,12345.0,New York,New York,United States,Central,USCA,PROD-7999,Furniture,Phones,Product B,88.24,3,0.1,-478.19,115.25,Medium
37,CA-2013-ORD85293,02/06/2016,02/07/2016,Standard Class,CUST-9203,Bob Johnson,Corporate,23456.0,Chicago,New York,United States,South,USCA,PROD-4256,Office Supplies,Tables,Product A,419.83,4,0.2,685.05,89.23,Critical
38,CA-2016-ORD63207,02/07/2016,02/08/2016,Same Day,CUST-8267,Alice Smith,Home Office,12345.0,San Francisco,Illinois,United States,West,USCA,PROD-3602,Furniture,Tables,Product C,79.19,2,0.1,20.86,190.67,Critical
39,CA-2014-ORD98136,02/08/2016,02/09/2016,Second Class,CUST-4022,Diana Ross,Corporate,12345.0,New York,New York,United States,West,USCA,PROD-8750,Technology,Tables,Product A,4859.17,2,0.2,697.77,149.26,Critical
40,CA-2016-ORD70971,02/09/2016,02/10/2016,Same Day,CUST-4864,Bob Johnson,Home Office,34567.0,San Francisco,New York,United States,West,USCA,PROD-9303,Technology,Binders,Product B,2936.34,5,0.1,150.74,98.84,High
41,CA-2015-ORD46134,02/10/2016,02/11/2016,Standard Class,CUST-4841,Charlie Brown,Corporate,12345.0,Chicago,Texas,United States,South,USCA,PROD-7980,Technology,Tables,Product B,2262.18,2,0.2,-103.2,124.68,Low
42,CA-2015-ORD98483,02/11/2016,02/12/2016,Standard Class,CUST-6320,Charlie Brown,Home Office,,Chicago,New York,United States,Central,USCA,PROD-2271,Office Supplies,Tables,Product A,3414.96,5,0.3,995.02,169.18,Low
43,CA-2013-ORD17070,02/12/2016,02/13/2016,First Class,CUST-3786,Diana Ross,Consumer,12345.0,Chicago,Texas,United States,East,USCA,PROD-4484,Furniture,Phones,Product A,4293.6,9,0.1,594.84,83.87,Medium
44,CA-2014-ORD89157,02/13/2016,02/14/2016,First Class,CUST-2922,Bob Johnson,Consumer,12345.0,San Francisco,New York,United States,South,USCA,PROD-8765,Technology,Chairs,Product C,1173.71,2,0.1,443.5,24.82,High
45,CA-2014-ORD40684,02/14/2016,02/15/2016,Second Class,CUST-4241,Diana Ross,Consumer,23456.0,Austin,California,United States,East,USCA,PROD-8891,Office Supplies,Tables,Product A,1237.99,1,0.2,721.98,171.69,Low
46,CA-2015-ORD18104,02/15/2016,02/16/2016,Second Class,CUST-4135,Alice Smith,Home Office,23456.0,Chicago,Texas,United States,South,USCA,PROD-1945,Office Supplies,Binders,Product A,4250.8,2,0.2,214.8,192.98,Medium
47,CA-2016-ORD49404,02/16/2016,02/17/2016,First Class,CUST-9975,Charlie Brown,Home Office,34567.0,New York,Illinois,United States,East,USCA,PROD-7673,Furniture,Chairs,Product C,3559.22,8,0.2,283.14,186.73,High
48,CA-2015-ORD48379,02/17/2016,02/18/2016,Standard Class,CUST-8555,Alice Smith,Consumer,23456.0,New York,Illinois,United States,East,USCA,PROD-8953,Office Supplies,Binders,Product C,2906.95,1,0.3,603.12,129.06,Low
49,CA-2014-ORD32290,02/18/2016,02/19/2016,Same Day,CUST-5852,Alice Smith,Consumer,23456.0,Austin,Illinois,United States,East,USCA,PROD-1010,Furniture,Phones,Product A,4242.17,4,0.3,769.69,189.92,High
50,CA-2016-ORD82139,02/19/2016,02/20/2016,First Class,CUST-6567,Alice Smith,Consumer,34567.0,San Francisco,Illinois,United States,East,USCA,PROD-6027,Technology,Phones,Product A,1959.38,8,0.0,825.64,54.38,Low
51,CA-2013-ORD19917,02/20/2016,02/21/2016,Same Day,CUST-6910,Bob Johnson,Consumer,12345.0,San Francisco,California,United States,West,USCA,PROD-2100,Furniture,Binders,Product A,1009.95,3,0.2,979.08,108.29,Low
52,CA-2016-ORD29159,02/21/2016,02/22/2016,Second Class,CUST-5561,Charlie Brown,Consumer,34567.0,Chicago,New York,United States,Central,USCA,PROD-7555,Technology,Chairs,Product C,3914.07,9,0.3,-113.15,109.75,Medium
53,CA-2014-ORD64187,02/22/2016,02/23/2016,Standard Class,CUST-6274,Bob Johnson,Corporate,34567.0,San Francisco,Texas,United States,West,USCA,PROD-1825,Office Supplies,Tables,Product C,4058.16,4,0.1,343.09,177.11,High
54,CA-2016-ORD57890,02/23/2016,02/24/2016,First Class,CUST-7351,Charlie Brown,Corporate,34567.0,San Francisco,New York,United States,East,USCA,PROD-8674,Technology,Binders,Product A,2542.58,4,0.0,317.83,60.34,Medium
55,CA-2015-ORD89349,02/24/2016,02/25/2016,Second Class,CUST-6266,Bob Johnson,Consumer,12345.0,Austin,New York,United States,East,USCA,PROD-8035,Furniture,Tables,Product A,3587.28,4,0.3,606.42,148.81,Low
56,CA-2016-ORD69490,02/25/2016,02/26/2016,Second Class,CUST-3819,Diana Ross,Consumer,23456.0,Austin,New York,United States,South,USCA,PROD-9987,Office Supplies,Binders,Product A,1169.18,6,0.1,363.14,54.44,Low
57,CA-2014-ORD23706,02/26/2016,02/27/2016,First Class,CUST-2237,Alice Smith,Home Office,,New York,Texas,United States,South,USCA,PROD-7925,Technology,Phones,Product B,1336.67,6,0.3,606.56,86.04,Low
58,CA-2015-ORD85368,02/27/2016,02/28/2016,Second Class,CUST-3473,Bob Johnson,Consumer,23456.0,New York,Texas,United States,West,USCA,PROD-3959,Technology,Chairs,Product A,1220.58,5,0.2,-206.97,145.48,Medium
59,CA-2014-ORD68861,02/28/2016,02/29/2016,Standard Class,CUST-4268,Bob Johnson,Home Office,34567.0,New York,Texas,United States,Central,USCA,PROD-9043,Technology,Binders,Product C,367.38,5,0.0,-454.61,15.08,Low
60,CA-2013-ORD22478,02/29/2016,03/01/2016,First Class,CUST-4937,Charlie Brown,Consumer,12345.0,San Francisco,Texas,United States,East,USCA,PROD-2800,Technology,Phones,Product A,2147.52,2,0.3,872.38,97.57,Critical
61,CA-2016-ORD18669,03/01/2016,03/02/2016,Second Class,CUST-8562,Charlie Brown,Home Office,12345.0,Austin,Texas,United States,Central,USCA,PROD-1525,Furniture,Phones,Product A,4819.5,6,0.3,216.78,181.76,High
62,CA-2013-ORD93444,03/02/2016,03/03/2016,Same Day,CUST-4019,Alice Smith,Consumer,34567.0,Austin,Texas,United States,Central,USCA,PROD-5761,Technology,Chairs,Product A,3532.48,5,0.2,-144.3,122.0,High
63,CA-2016-ORD27351,03/03/2016,03/04/2016,Standard Class,CUST-7213,Charlie Brown,Home Office,23456.0,New York,Illinois,United States,South,USCA,PROD-5476,Furniture,Binders,Product B,4760.14,6,0.3,506.23,115.4,High
64,CA-2015-ORD98892,03/04/2016,03/05/2016,Same Day,CUST-3003,Diana Ross,Corporate,,New York,Texas,United States,Central,USCA,PROD-2830,Technology,Phones,Product C,836.88,1,0.1,529.79,99.71,Low
65,CA-2014-ORD86576,03/05/2016,03/06/2016,Second Class,CUST-4082,Charlie Brown,Consumer,12345.0,New York,Texas,United States,Central,USCA,PROD-3203,Office Supplies,Tables,Product A,4180.23,1,0.1,622.74,138.47,Medium
66,CA-2013-ORD32224,03/06/2016,03/07/2016,Same Day,CUST-4589,Diana Ross,Corporate,34567.0,Austin,New York,United States,East,USCA,PROD-3042,Furniture,Binders,Product A,2572.42,5,0.1,-348.67,65.43,High
67,CA-2014-ORD13996,03/07/2016,03/08/2016,Standard Class,CUST-5804,Diana Ross,Home Office,34567.0,San Francisco,California,United States,Central,USCA,PROD-4416,Office Supplies,Chairs,Product A,2500.82,4,0.3,-285.36,54.44,Low
68,CA-2013-ORD65882,03/08/2016,03/09/2016,First Class,CUST-1985,Diana Ross,Corporate,12345.0,San Francisco,Illinois,United States,South,USCA,PROD-4951,Technology,Tables,Product B,489.6,7,0.1,939.1,130.39,Low
69,CA-2014-ORD15594,03/09/2016,03/10/2016,Second Class,CUST-6280,Bob Johnson,Home Office,34567.0,Chicago,Texas,United States,West,USCA,PROD-2414,Technology,Binders,Product C,1026.21,3,0.2,923.56,65.29,High
70,CA-2014-ORD39423,03/10/2016,03/11/2016,First Class,CUST-6130,Bob Johnson,Consumer,34567.0,San Francisco,Texas,United States,South,USCA,PROD-1623,Office Supplies,Binders,Product C,3132.52,9,0.0,6.65,116.29,Low
71,CA-2016-ORD98548,03/11/2016,03/12/2016,First Class,CUST-3155,Bob Johnson,Consumer,34567.0,New York,New York,United States,South,USCA,PROD-3112,Furniture,Binders,Product A,1608.76,9,0.1,482.2,66.02,High
72,CA-2015-ORD52713,03/12/2016,03/13/2016,First Class,CUST-5380,Alice Smith,Consumer,12345.0,Austin,Illinois,United States,West,USCA,PROD-1100,Furniture,Binders,Product C,4566.11,6,0.2,-400.98,191.63,High
73,CA-2013-ORD70814,03/13/2016,03/14/2016,Same Day,CUST-1128,Charlie Brown,Home Office,34567.0,Austin,New York,United States,South,USCA,PROD-9577,Furniture,Binders,Product A,2425.64,5,0.3,-426.59,45.68,Critical
74,CA-2015-ORD28176,03/14/2016,03/15/2016,First Class,CUST-9637,Alice Smith,Corporate,12345.0,San Francisco,California,United States,South,USCA,PROD-2737,Office Supplies,Chairs,Product C,4457.22,9,0.2,360.36,177.4,Medium
75,CA-2016-ORD92765,03/15/2016,03/16/2016,Same Day,CUST-7699,Charlie Brown,Consumer,23456.0,New York,New York,United States,West,USCA,PROD-3149,Technology,Phones,Product C,4734.56,8,0.2,196.11,190.02,Low
76,CA-2014-ORD23598,03/16/2016,03/17/2016,Standard Class,CUST-1449,Charlie Brown,Corporate,,Austin,New York,United States,South,USCA,PROD-6838,Office Supplies,Tables,Product B,2784.42,3,0.3,689.38,58.21,Medium
77,CA-2014-ORD62547,03/17/2016,03/18/2016,Standard Class,CUST-1334,Alice Smith,Home Office,23456.0,Chicago,New York,United States,South,USCA,PROD-8796,Furniture,Chairs,Product B,3325.52,4,0.3,936.28,61.13,Medium
78,CA-2015-ORD81018,03/18/2016,03/19/2016,First Class,CUST-1435,Alice Smith,Corporate,23456.0,San Francisco,Illinois,United States,South,USCA,PROD-8228,Technology,Binders,Product C,4420.92,1,0.0,694.48,196.95,Critical
79,CA-2015-ORD33496,03/19/2016,03/20/2016,Standard Class,CUST-3379,Diana Ross,Corporate,34567.0,Chicago,Texas,United States,East,USCA,PROD-8924,Technology,Chairs,Product B,4858.65,7,0.0,279.44,51.65,High
80,CA-2013-ORD64439,03/20/2016,03/21/2016,First Class,CUST-3447,Bob Johnson,Home Office,12345.0,San Francisco,New York,United States,Central,USCA,PROD-3434,Furniture,Tables,Product A,2580.65,1,0.1,398.34,119.93,Medium
81,CA-2015-ORD72130,03/21/2016,03/22/2016,Second Class,CUST-8112,Charlie Brown,Corporate,,New York,Texas,United States,East,USCA,PROD-9713,Office Supplies,Binders,Product B,2267.93,1,0.0,345.36,161.27,High
82,CA-2015-ORD45544,03/22/2016,03/23/2016,Same Day,CUST-3472,Diana Ross,Home Office,23456.0,New York,New York,United States,Central,USCA,PROD-5078,Technology,Binders,Product A,1675.63,8,0.1,-344.07,103.6,Critical
83,CA-2013-ORD87514,03/23/2016,03/24/2016,First Class,CUST-2739,Charlie Brown,Consumer,12345.0,San Francisco,Illinois,United States,West,USCA,PROD-4598,Office Supplies,Phones,Product A,3085.16,5,0.3,-407.93,114.55,Critical
84,CA-2016-ORD97395,03/24/2016,03/25/2016,Standard Class,CUST-2716,Charlie Brown,Home Office,23456.0,Austin,New York,United States,Central,USCA,PROD-7898,Technology,Tables,Product A,1015.11,9,0.2,369.99,106.77,Medium
85,CA-2013-ORD46616,03/25/2016,03/26/2016,Second Class,CUST-2560,Diana Ross,Corporate,23456.0,Austin,California,United States,Central,USCA,PROD-8532,Technology,Phones,Product B,3952.4,5,0.0,-104.68,86.11,Critical
86,CA-2013-ORD89229,03/26/2016,03/27/2016,Same Day,CUST-2744,Alice Smith,Corporate,23456.0,Chicago,Texas,United States,East,USCA,PROD-2202,Office Supplies,Tables,Product C,3085.77,6,0.1,345.93,72.83,Low
87,CA-2014-ORD13803,03/27/2016,03/28/2016,Standard Class,CUST-2469,Charlie Brown,Corporate,,Chicago,New York,United States,South,USCA,PROD-1701,Technology,Binders,Product C,153.0,5,0.3,56.65,127.61,Critical
88,CA-2015-ORD46139,03/28/2016,03/29/2016,Standard Class,CUST-7977,Diana Ross,Home Office,23456.0,Chicago,California,United States,South,USCA,PROD-4524,Technology,Tables,Product A,2584.21,6,0.1,80.86,166.95,Medium
89,CA-2013-ORD79139,03/29/2016,03/30/2016,Same Day,CUST-7102,Charlie Brown,Corporate,23456.0,Austin,Illinois,United States,South,USCA,PROD-7691,Office Supplies,Phones,Product C,1646.98,3,0.2,-392.28,154.05,Low
90,CA-2013-ORD80910,03/30/2016,03/31/2016,Second Class,CUST-1355,Bob Johnson,Corporate,,San Francisco,California,United States,East,USCA,PROD-6240,Furniture,Chairs,Product B,1799.57,9,0.0,715.05,43.27,Low
91,CA-2014-ORD72255,03/31/2016,04/01/2016,First Class,CUST-4195,Alice Smith,Corporate,34567.0,New York,Texas,United States,Central,USCA,PROD-4949,Office Supplies,Binders,Product B,3398.84,3,0.2,962.6,21.76,Low
92,CA-2015-ORD58172,04/01/2016,04/02/2016,Same Day,CUST-4533,Bob Johnson,Consumer,34567.0,New York,Illinois,United States,West,USCA,PROD-4305,Furniture,Binders,Product B,1912.88,5,0.0,-243.72,37.62,Medium
93,CA-2016-ORD87004,04/02/2016,04/03/2016,Same Day,CUST-1189,Alice Smith,Corporate,23456.0,New York,Texas,United States,South,USCA,PROD-9712,Office Supplies,Binders,Product B,1872.35,7,0.1,-126.78,186.91,Critical
94,CA-2015-ORD76058,04/03/2016,04/04/2016,First Class,CUST-6412,Alice Smith,Corporate,23456.0,Chicago,New York,United States,Central,USCA,PROD-4947,Furniture,Binders,Product A,4050.19,7,0.2,886.93,188.76,Low
95,CA-2016-ORD94940,04/04/2016,04/05/2016,First Class,CUST-8507,Charlie Brown,Consumer,23456.0,New York,California,United States,Central,USCA,PROD-8924,Furniture,Chairs,Product A,1835.81,3,0.0,-447.27,196.97,High
96,CA-2014-ORD95655,04/05/2016,04/06/2016,Standard Class,CUST-7022,Diana Ross,Corporate,34567.0,San Francisco,California,United States,Central,USCA,PROD-5101,Office Supplies,Binders,Product C,2301.71,8,0.0,898.24,73.5,Critical
97,CA-2013-ORD47464,04/06/2016,04/07/2016,First Class,CUST-4364,Charlie Brown,Home Office,12345.0,Chicago,New York,United States,Central,USCA,PROD-9990,Technology,Binders,Product B,4755.39,1,0.3,609.51,73.72,Medium
98,CA-2016-ORD28954,04/07/2016,04/08/2016,Standard Class,CUST-1773,Diana Ross,Home Office,,San Francisco,California,United States,West,USCA,PROD-3698,Office Supplies,Binders,Product C,4847.83,4,0.0,-335.64,32.7,High
99,CA-2015-ORD82476,04/08/2016,04/09/2016,Standard Class,CUST-2965,Charlie Brown,Home Office,34567.0,Austin,Texas,United States,Central,USCA,PROD-4249,Technology,Tables,Product C,4371.59,9,0.1,695.35,154.69,Low
100,CA-2014-ORD42896,04/09/2016,04/10/2016,First Class,CUST-2049,Alice Smith,Home Office,23456.0,Austin,California,United States,West,USCA,PROD-3475,Furniture,Phones,Product B,4814.45,7,0.0,698.9,160.93,High
101,CA-2013-ORD92219,04/10/2016,04/11/2016,First Class,CUST-1317,Alice Smith,Corporate,34567.0,Austin,Illinois,United States,East,USCA,PROD-9536,Technology,Binders,Product B,220.63,9,0.1,919.29,22.17,Medium
102,CA-2014-ORD55579,04/11/2016,04/12/2016,First Class,CUST-4478,Diana Ross,Consumer,12345.0,New York,California,United States,West,USCA,PROD-4798,Furniture,Chairs,Product B,1682.79,4,0.0,-104.9,24.57,Low
103,CA-2016-ORD72071,04/12/2016,04/13/2016,Same Day,CUST-1986,Diana Ross,Corporate,,Chicago,California,United States,South,USCA,PROD-1108,Office Supplies,Chairs,Product A,2660.75,9,0.3,432.06,45.28,High
104,CA-2015-ORD62447,04/13/2016,04/14/2016,Same Day,CUST-9212,Charlie Brown,Corporate,,Austin,New York,United States,East,USCA,PROD-7601,Technology,Binders,Product B,3190.68,4,0.3,-33.28,75.76,Low
105,CA-2014-ORD58299,04/14/2016,04/15/2016,First Class,CUST-9375,Charlie Brown,Home Office,12345.0,Austin,California,United States,East,USCA,PROD-2686,Office Supplies,Chairs,Product C,3685.64,6,0.1,454.84,136.72,Low
106,CA-2015-ORD48254,04/15/2016,04/16/2016,Second Class,CUST-8731,Charlie Brown,Home Office,23456.0,San Francisco,New York,United States,Central,USCA,PROD-1404,Technology,Tables,Product B,2504.33,8,0.1,616.31,116.98,High
107,CA-2014-ORD69981,04/16/2016,04/17/2016,Second Class,CUST-4952,Charlie Brown,Consumer,,New York,New York,United States,East,USCA,PROD-9065,Furniture,Tables,Product C,1290.79,6,0.0,652.11,107.96,Medium
108,CA-2015-ORD54377,04/17/2016,04/18/2016,Standard Class,CUST-4549,Charlie Brown,Home Office,12345.0,San Francisco,California,United States,West,USCA,PROD-1786,Technology,Phones,Product B,1614.15,1,0.1,-419.74,63.16,Medium
109,CA-2014-ORD32538,04/18/2016,04/19/2016,Same Day,CUST-4185,Bob Johnson,Corporate,12345.0,New York,New York,United States,East,USCA,PROD-2468,Furniture,Chairs,Product B,4734.04,6,0.1,940.26,101.94,Critical
110,CA-2013-ORD25209,04/19/2016,04/20/2016,Standard Class,CUST-4292,Diana Ross,Consumer,23456.0,Austin,Texas,United States,East,USCA,PROD-1953,Furniture,Binders,Product A,2730.43,7,0.3,875.51,93.01,High
111,CA-2016-ORD53191,04/20/2016,04/21/2016,Standard Class,CUST-3732,Diana Ross,Consumer,34567.0,Austin,California,United States,East,USCA,PROD-6098,Technology,Phones,Product A,626.26,6,0.2,87.45,14.65,Low
112,CA-2015-ORD53145,04/21/2016,04/22/2016,Same Day,CUST-4980,Bob Johnson,Consumer,,Chicago,Illinois,United States,Central,USCA,PROD-5738,Office Supplies,Chairs,Product B,1356.34,2,0.1,460.61,197.68,Critical
113,CA-2013-ORD49410,04/22/2016,04/23/2016,Standard Class,CUST-2854,Bob Johnson,Home Office,12345.0,New York,New York,United States,West,USCA,PROD-4691,Office Supplies,Phones,Product B,3405.79,3,0.0,429.03,146.63,Medium
114,CA-2015-ORD12819,04/23/2016,04/24/2016,Second Class,CUST-5077,Charlie Brown,Corporate,,New York,New York,United States,Central,USCA,PROD-3366,Furniture,Chairs,Product A,1602.14,3,0.0,-226.58,168.32,High
115,CA-2016-ORD59074,04/24/2016,04/25/2016,Standard Class,CUST-2299,Bob Johnson,Consumer,23456.0,San Francisco,Texas,United States,East,USCA,PROD-3195,Technology,Chairs,Product B,2155.09,5,0.1,27.92,134.49,Critical
116,CA-2015-ORD81052,04/25/2016,04/26/2016,Second Class,CUST-9694,Charlie Brown,Corporate,,New York,California,United States,East,USCA,PROD-3788,Office Supplies,Phones,Product B,2641.26,2,0.1,213.58,122.88,Low
117,CA-2015-ORD33351,04/26/2016,04/27/2016,Standard Class,CUST-4891,Charlie Brown,Corporate,34567.0,Austin,Illinois,United States,Central,USCA,PROD-1690,Furniture,Tables,Product A,2216.38,9,0.3,802.18,132.95,Low
